period,exp_fitness,exp_exe_time(s),total_fitness,total_exe_time(s),added_bc_ELS
\UA_2023_01(2023 Q1),70060,0.47664299999999998336,429341,2.60954899999999989646,55 66 68 66 61 49 42 26 18 26 15 5 14 4 
\UA_2023_02(2023 Q1),70060,0.43053799999999997627,233369,1.31685900000000000176,39 57 50 42 38 27 17 5 1 
\UA_2023_03(2023 Q1),70060,0.48975899999999999990,161921,1.05279499999999992532,45 58 44 26 
\UA_2023_04(2023 Q1),70060,0.45879199999999997761,193082,1.12632899999999991358,37 33 38 23 16 21 22 12 1 
\UA_2023_05(2023 Q1),70060,0.47525200000000000777,239371,1.52843900000000010309,62 88 61 55 39 32 11 1 
\UA_2023_06(2023 Q1),70060,0.47785899999999997823,239181,1.48510399999999997966,70 71 66 55 36 16 4 2 2 1 
\UA_2023_07(2023 Q1),70060,0.44664799999999998947,105548,0.64546700000000001296,26 29 15 3 1 1 
\UA_2023_08(2023 Q1),70060,0.48035899999999998045,100627,0.66911699999999996180,19 23 23 7 
\UA_2023_09(2023 Q1),70060,0.43946899999999999853,118962,0.71849799999999997002,26 29 31 18 11 3 
\UA_2023_10(2023 Q1),70060,0.45282400000000000428,96604,0.59994899999999995455,23 14 10 9 5 2 
\UA_2023_11(2023 Q1),70060,0.47292699999999998628,284185,1.73975799999999991563,62 61 65 63 46 28 11 1 
\UA_2023_12(2023 Q1),70060,0.46602700000000002456,441462,2.63807899999999984075,80 67 70 70 65 58 48 41 32 22 3 
\UA_2024_01(2024 Q1),70060,0.48902800000000001823,331644,2.10053799999999979420,51 53 44 51 48 30 39 25 25 14 4 1 
\UA_2024_02(2024 Q1),70060,0.47331600000000001449,1332548,7.83366299999999959880,116 185 197 186 157 143 117 96 96 76 48 46 34 21 10 5 
\UA_2024_03(2024 Q1),70060,0.46242699999999997695,197274,1.18442899999999995408,34 40 40 44 33 18 7 3 
\UA_2024_04(2024 Q1),70060,0.46395900000000001029,156421,0.97118099999999996097,24 30 30 31 33 18 3 
\UA_2024_05(2024 Q1),70060,0.49504799999999998805,213709,1.38280399999999992211,39 35 38 38 25 21 15 4 2 3 4 4 2 
\UA_2024_06(2024 Q1),70060,0.45016099999999997783,273399,1.55528299999999997105,30 48 52 51 48 24 17 6 4 2 
\UA_2024_07(2024 Q1),70060,0.49725200000000002731,177050,1.15752100000000002211,32 41 36 28 19 11 3 3 1 
\UA_2024_08(2024 Q1),70060,0.46467900000000000871,75896,0.49910500000000002085,10 2 
\UA_2024_09(2024 Q1),70060,0.44341000000000002634,173303,1.02538799999999996615,29 39 30 37 21 13 4 
\UA_2024_10(2024 Q1),70060,0.48465599999999997571,159149,1.03505699999999989380,34 40 37 24 14 6 2 1 1 
\UA_2024_11(2024 Q1),70060,0.46376499999999998280,434432,2.54695600000000021979,54 72 80 81 68 61 48 26 16 9 3 
\UA_2024_12(2024 Q1),70060,0.46072200000000002040,125736,0.79041399999999994996,28 37 25 23 12 1 
\UA_2025_01(2025 Q1),70060,0.50182099999999996154,431994,2.75240099999999987546,44 51 59 60 52 46 46 33 19 21 17 11 12 11 2 
\UA_2025_02(2025 Q1),70060,0.44314500000000001112,392152,2.20439499999999988233,57 59 52 61 47 43 39 31 27 15 13 10 7 3 
\UA_2025_03(2025 Q1),70060,0.41534199999999998898,103989,0.60759499999999999620,21 23 18 8 1 1 
\UA_2025_04(2025 Q1),70060,0.46573700000000001209,81734,0.53415199999999996017,14 9 6 1 
