period,exp_fitness,exp_time(s),total_fitness,total_time(s),max_TR,min_risk,#_in_front
2024_01,5000030,11.81015582799999918961,5574790,12.38857488500000059162,0.88723019358983612470,30027.35234984566704952158,275
2024_02,5000030,12.41939789599999954817,5764903,13.13561384900000028608,0.98492923508509500063,25095.47069561406169668771,412
2024_03,5000030,11.46859846299999929897,5915265,12.32944073500000037313,0.77448420491292935264,32014.16726846943493001163,459
2024_04,5000030,9.22965469000000027222,5046619,9.27198060699999970780,0.08927838420700578981,57503.81798981528845615685,57
2024_05,5000030,10.47173872599999988608,5665473,11.08085730800000057172,1.09073097825057541144,38946.04676317988923983648,281
2024_06,5000030,11.00248770099999973127,6115654,12.06210473600000021577,2.26127383095688472281,6276.52478352056277799420,467
2024_07,5000030,11.09175997800000068594,5537193,11.60483646900000032076,0.63417754840928974858,38037.64491483775054803118,268
2024_08,5000030,10.54914046100000035722,5458301,10.99199922300000054065,0.38482570926427989155,58221.14899070129467872903,217
2024_09,5000030,10.72284550300000027789,5729422,11.39150310900000029335,0.50362476769469854965,31166.44479373637295793742,332
2024_10,5000030,10.85931006100000040249,5733160,11.59004727800000011939,0.37126009167730877891,47752.12126432394143193960,387
2024_11,5000030,10.28059614300000035314,5676819,10.90669562100000078431,1.60873312562972392570,25920.33649477521976223215,281
2024_12,5000030,10.40205388899999938701,5746112,11.14982525299999949198,0.39707187304512547854,44670.70693936964380554855,358
2025_01,5000030,10.59829990599999938183,5865813,11.44745097100000030821,1.02964248787774304006,25340.02540695102652534842,376
2025_02,5000030,11.04642098300000085942,5902959,11.85893446500000081301,0.91329921298835459176,30648.88914508257221314125,506
2025_03,5000030,9.88032381000000015092,5136472,10.00477016700000021387,0.48985112856473678189,51566.67017568122537340969,143
2025_04,5000030,9.63578542299999973864,5014772,9.64929864399999992486,0.10480977520682853432,136229.44372729974566027522,38
2025_05,5000030,11.50819908899999965968,5816204,12.33047085799999997846,0.47915230684978621367,57923.96763457000633934513,514
2025_06,5000030,11.16075130499999978895,5471267,11.59774821799999955374,0.98572523154813873614,28033.37368054794933414087,248
2025_07,5000030,11.17422885500000084846,5743891,11.96257804999999940776,0.96460600826889075776,19497.49428240865017869510,522
2025_08,5000030,11.69585218299999951341,6221608,12.93596673599999924420,1.15630389101311403799,24574.79887933229838381521,444
2025_09,5000030,11.13250102399999974523,5994838,12.14000724699999977929,1.06203297689725095765,19090.16516319410948199220,517
2025_10,5000030,11.27880872599999939609,5485672,11.76098106499999929042,0.62603751373955507376,37121.16033126213733339682,257
2025_11,5000030,10.52171532400000053542,5367047,10.84864780500000058794,1.02732586388912250364,47244.74975600140169262886,191
2025_12,5000030,11.30084047999999974365,5942719,12.25490496399999962307,1.10968386575531119398,15183.09070991625048918650,440
